MatchID,Windranger,GPM,XPM,Damage,Blademail,KillingItem,GhostEblade,HeroCounter,Win,Notes,NotBanned
5417288349,1,392,543,27.7,0,0,0,1.0,0,ember,1
5417215755,0,481,633,32.5,0,1,1,0.0,1,waga played queen of pain,0
5417151181,1,475,614,19.2,1,0,0,0.0,1,,1
5417098319,1,304,288,8.7,0,0,1,1.0,0,centaur,1
5417035117,1,246,269,10.1,0,0,1,0.0,0,,1
5416950265,1,552,776,46.6,0,0,0,0.0,1,,1
5416901243,1,386,311,5.5,0,0,0,0.0,1,DUMP THIS GAME?,1
5416812983,1,543,696,20.1,0,0,0,0.0,1,,1
5416714104,1,317,333,14.9,1,1,1,0.0,0,,1
5416663891,1,187,225,6.4,0,0,0,0.0,0,,1
5415636851,0,570,592,12.4,0,0,1,0.0,1,waga played mars,0
5415595171,0,510,645,15.2,1,1,1,,0,waga played sven,0
5415538680,1,404,431,22.5,0,1,0,1.0,0,"shadow demon, centaur",1
5415490378,1,376,454,12.7,1,0,0,0.0,0,axe,1
5415449710,1,508,622,13.3,0,0,0,1.0,1,mars,1
5415116169,1,626,716,39.2,0,1,1,0.0,1,,1
5415046665,0,345,480,17.8,0,1,0,0.0,0,waga played clinkz,0
5414985542,1,303,440,12.6,0,0,0,1.0,0,ember,1
5414907403,1,354,451,19.3,0,0,0,0.0,0,,1
5414802285,1,431,510,23.4,0,1,0,0.0,1,,1
5414746518,1,360,380,5.4,0,0,0,0.0,1,,1
5414675468,0,489,498,18.0,1,0,0,0.0,1,waga played ember,0
5413692577,0,467,515,43.7,1,1,0,1.0,0,"waga played sniper, brood",0
5413627914,1,639,852,21.3,0,0,0,0.0,1,,1
5413570726,1,309,506,5.1,0,1,1,1.0,0,ember,1
5413494792,1,563,713,34.4,1,0,1,0.0,1,,1
5413403475,1,416,633,30.8,0,1,1,1.0,0,tinker,1
5413342943,1,574,770,18.7,0,1,0,1.0,1,ember,1
5413257992,1,408,510,24.1,1,1,0,1.0,0,centaur,1
5413165860,1,436,619,22.0,0,1,0,1.0,0,centaur,1
5413101354,1,318,365,12.6,0,0,1,0.0,0,necro,1
5413060208,1,422,265,6.4,0,0,0,0.0,1,,1
5412959547,1,452,678,32.9,0,0,1,1.0,1,ember,1
5412066215,0,439,488,12.8,0,1,0,0.0,0,waga played templar,0
5412014197,0,352,366,18.9,0,0,1,0.0,0,waga played necro,0
5411963285,1,410,445,15.9,0,1,1,1.0,0,shadow demon,1
5411695831,1,592,777,26.5,0,0,0,0.0,1,,1
5411615695,1,325,568,10.4,1,1,1,0.0,1,"pugna, puck dagon+veil counts as killing counter imo",1
5411548928,0,368,482,13.8,1,1,0,0.0,0,waga played storm,1
5411468207,1,340,341,19.5,0,0,1,0.0,0,morph + eblade is pretty good killing counter but didn't count it,1
5410346327,1,348,580,14.5,1,1,0,0.0,1,counter items were bought in response to tinker most likely,1
5410288488,1,404,663,24.3,0,0,0,1.0,1,"shadow demon, centaur",1
5410213956,1,506,672,36.5,1,0,1,0.0,1,pugna,1
5410146745,1,531,517,13.2,1,0,0,1.0,1,shadow demon,1
5410104634,1,496,589,12.6,0,0,0,0.0,1,,1
5410006597,1,553,768,67.4,0,1,1,0.0,0,,1
5409938993,1,502,549,13.5,0,0,1,0.0,1,,1
5409874102,1,328,387,11.7,1,0,0,1.0,0,ember,1
5408684390,1,316,498,24.3,1,1,1,1.0,0,ember,1
5408642218,0,730,829,23.0,0,0,1,0.0,1,waga played templar,0
5408589108,1,427,647,26.0,1,1,1,1.0,0,Pugna,1
5408524161,1,418,600,26.3,0,0,1,0.0,0,"Axe - did he have blademail, end game no, Zeus/Axe should they count",1
5408451453,1,447,655,26.5,1,0,1,1.0,0,"Ember and Mars, Zeus",1
5408371848,1,548,730,22.6,1,0,1,0.0,1,"Necro ghost shroud, maybe don't consider that hero counter but put it on ghost",1
5408234472,1,548,591,38.0,0,1,1,0.0,1,Divine rapiers,1
5408140132,1,404,499,19.4,0,0,0,0.0,0,Some heroes sold their items,1
5406453450,1,312,589,16.1,0,0,1,0.0,1,,1
5406392493,1,442,590,21.2,1,0,0,1.0,1,,1
5406313145,1,554,637,17.0,1,0,1,0.0,1,,1
5406251866,1,564,741,18.3,1,1,1,0.0,1,,1
5406184079,1,354,443,19.4,1,0,1,1.0,0,tinker,1
5406061234,1,451,702,57.0,1,1,1,0.0,1,timber?,1
5405990999,1,458,504,14.5,1,0,0,1.0,1,axe,1
5405767413,1,448,627,36.0,1,0,1,0.0,1,,1
5405647895,1,290,394,27.9,0,1,0,0.0,0,,1
